EGID	EDID	EGAID	DEINR	ESID	STRNAME	STRNAMK	STRINDX	STRSP	STROFFIZIEL	DPLZ4	DPLZZ	DPLZNAME	DKODE	DKODN	DOFFADR	DEXPDAT
1753920	0	100938943	24	10006742	Beaumontweg	Beaumontweg	Bea	9901	1	2502	0	Biel/Bienne	2584981.361	1221612.478	1	2026-04-25
1753921	0	100938944	26	10006742	Chemin de Beaumont	Ch. de Beaumont	Bea	9903	1	2502	0	Biel/Bienne	2584990.456	1221621.297	1	2026-04-25
1753921	0	100938944	26	10006742	Beaumontweg	Beaumontweg	Bea	9901	1	2502	0	Biel/Bienne	2584990.456	1221621.297	1	2026-04-25
1753922	0	100938945	28	10006742	Beaumontweg	Beaumontweg	Bea	9901	1	2502	0	Biel/Bienne	2584999.679	1221630.196	1	2026-04-25
1753922	0	100938945	28	10006742	Chemin de Beaumont	Ch. de Beaumont	Bea	9903	1	2502	0	Biel/Bienne	2584999.679	1221630.196	1	2026-04-25
1753923	0	100938946	30	10006742	Chemin de Beaumont	Ch. de Beaumont	Bea	9903	1	2502	0	Biel/Bienne	2585011.633	1221642.365	1	2026-04-25
1753923	0	100938946	30	10006742	Beaumontweg	Beaumontweg	Bea	9901	1	2502	0	Biel/Bienne	2585011.633	1221642.365	1	2026-04-25
1753924	0	100938947	31	10006742	Beaumontweg	Beaumontweg	Bea	9901	1	2502	0	Biel/Bienne	2585062.956	1221722.191	1	2026-04-25
1753924	0	100938947	31	10006742	Chemin de Beaumont	Ch. de Beaumont	Bea	9903	1	2502	0	Biel/Bienne	2585062.956	1221722.191	1	2026-04-25
1753925	0	100938948	32	10006742	Chemin de Beaumont	Ch. de Beaumont	Bea	9903	1	2502	0	Biel/Bienne	2585019.795	1221650.172	1	2026-04-25
1753925	0	100938948	32	10006742	Beaumontweg	Beaumontweg	Bea	9901	1	2502	0	Biel/Bienne	2585019.795	1221650.172	1	2026-04-25
1753926	0	100938949	36	10006742	Chemin de Beaumont	Ch. de Beaumont	Bea	9903	1	2502	0	Biel/Bienne	2585033.529	1221663.432	1	2026-04-25
1753926	0	100938949	36	10006742	Beaumontweg	Beaumontweg	Bea	9901	1	2502	0	Biel/Bienne	2585033.529	1221663.432	1	2026-04-25
1753927	0	101971031	37	10006742	Chemin de Beaumont	Ch. de Beaumont	Bea	9903	1	2502	0	Biel/Bienne	2585128.205	1221806.606	1	2026-04-25
1753927	0	101971031	37	10006742	Beaumontweg	Beaumontweg	Bea	9901	1	2502	0	Biel/Bienne	2585128.205	1221806.606	1	2026-04-25
1753928	0	100938950	40	10006742	Beaumontweg	Beaumontweg	Bea	9901	1	2502	0	Biel/Bienne	2585049.309	1221679.37	1	2026-04-25
1753928	0	100938950	40	10006742	Chemin de Beaumont	Ch. de Beaumont	Bea	9903	1	2502	0	Biel/Bienne	2585049.309	1221679.37	1	2026-04-25
1753929	0	102093297	44	10006742	Beaumontweg	Beaumontweg	Bea	9901	1	2502	0	Biel/Bienne	2585063.062	1221692.372	1	2026-04-25
1753929	0	102093297	44	10006742	Chemin de Beaumont	Ch. de Beaumont	Bea	9903	1	2502	0	Biel/Bienne	2585063.062	1221692.372	1	2026-04-25
1753930	0	102212272	48	10006742	Beaumontweg	Beaumontweg	Bea	9901	1	2502	0	Biel/Bienne	2585081.576	1221707.297	1	2026-04-25
1753930	0	102212272	48	10006742	Chemin de Beaumont	Ch. de Beaumont	Bea	9903	1	2502	0	Biel/Bienne	2585081.576	1221707.297	1	2026-04-25
1753931	0	102208012	56	10006742	Chemin de Beaumont	Ch. de Beaumont	Bea	9903	1	2502	0	Biel/Bienne	2585124.491	1221728.277	1	2026-04-25
1753931	0	102208012	56	10006742	Beaumontweg	Beaumontweg	Bea	9901	1	2502	0	Biel/Bienne	2585124.491	1221728.277	1	2026-04-25
1753932	0	100938951	58	10006742	Beaumontweg	Beaumontweg	Bea	9901	1	2502	0	Biel/Bienne	2585133.448	1221745.028	1	2026-04-25
1753932	0	100938951	58	10006742	Chemin de Beaumont	Ch. de Beaumont	Bea	9903	1	2502	0	Biel/Bienne	2585133.448	1221745.028	1	2026-04-25
1753933	0	100938952	60	10006742	Beaumontweg	Beaumontweg	Bea	9901	1	2502	0	Biel/Bienne	2585144.762	1221753.176	1	2026-04-25
1753933	0	100938952	60	10006742	Chemin de Beaumont	Ch. de Beaumont	Bea	9903	1	2502	0	Biel/Bienne	2585144.762	1221753.176	1	2026-04-25
1753934	0	101951767	62	10006742	Beaumontweg	Beaumontweg	Bea	9901	1	2502	0	Biel/Bienne	2585156.225	1221763.862	1	2026-04-25
1753934	0	101951767	62	10006742	Chemin de Beaumont	Ch. de Beaumont	Bea	9903	1	2502	0	Biel/Bienne	2585156.225	1221763.862	1	2026-04-25
1753935	0	100940263	64	10006742	Beaumontweg	Beaumontweg	Bea	9901	1	2502	0	Biel/Bienne	2585171.666	1221772.481	1	2026-04-25
1753935	0	100940263	64	10006742	Chemin de Beaumont	Ch. de Beaumont	Bea	9903	1	2502	0	Biel/Bienne	2585171.666	1221772.481	1	2026-04-25
1753936	0	100940264	66	10006742	Beaumontweg	Beaumontweg	Bea	9901	1	2502	0	Biel/Bienne	2585179.158	1221778.059	1	2026-04-25
1753936	0	100940264	66	10006742	Chemin de Beaumont	Ch. de Beaumont	Bea	9903	1	2502	0	Biel/Bienne	2585179.158	1221778.059	1	2026-04-25
1753937	0	100940265	70	10006742	Beaumontweg	Beaumontweg	Bea	9901	1	2502	0	Biel/Bienne	2585193.676	1221796.027	1	2026-04-25
1753937	0	100940265	70	10006742	Chemin de Beaumont	Ch. de Beaumont	Bea	9903	1	2502	0	Biel/Bienne	2585193.676	1221796.027	1	2026-04-25
1753938	0	100940266	3	10045150	Chemin du Berghaus	Ch. du Berghaus	Ber	9903	1	2502	0	Biel/Bienne	2585814.521	1221864.984	1	2026-04-25
1753938	0	100940266	3	10045150	Berghausweg	Berghausweg	Ber	9901	1	2502	0	Biel/Bienne	2585814.521	1221864.984	1	2026-04-25
1753939	0	100940267	5	10045150	Chemin du Berghaus	Ch. du Berghaus	Ber	9903	1	2502	0	Biel/Bienne	2585782.781	1221893.663	1	2026-04-25
1753939	0	100940267	5	10045150	Berghausweg	Berghausweg	Ber	9901	1	2502	0	Biel/Bienne	2585782.781	1221893.663	1	2026-04-25
1753940	0	100940268	29	10006742	Beaumontweg	Beaumontweg	Bea	9901	1	2502	0	Biel/Bienne	2585044.391	1221704.195	1	2026-04-25
1753940	0	100940268	29	10006742	Chemin de Beaumont	Ch. de Beaumont	Bea	9903	1	2502	0	Biel/Bienne	2585044.391	1221704.195	1	2026-04-25
